"ID"	"Reading_Time"	"Main_Idea"	"Key_Points"	"Relevant_Info"	"Global_Comprehension"	"MI_CAL_ERR"	"KP_CAL_ERR"	"RI_CAL_ERR"	"Calibration_Bias"	"Medium"	"Word_Reading_Ability"	"Working_Memory"	"Reading_Comprehension"	"Prior_Knowledge"	"Topic_Interest"	"Medium_Preference"	"Medium_Preference_Study"	"Gender"	"AGE"	"NATIONALITY"	"MYID"	"medium"	"CLASS"	"SCHOOL"	"Reading_Comprehension_levels"
"JNX7DE"	609.85	0.5	0	0	0.5	-0.67	1	1	0.44	"Paper"	54	2	15	0.5	26	2	1	"Girls"	13	9	102	1	6	"S"	"Intermediate"
"GNA7DE*"	453.61	0.5	0	4	4.5	5.33	8	6	6.44	"Paper"	32	0	12	1.38	28.5	1	1	"Girls"	13.92	1	103	1	6	"S"	"Low"
"MIY7DE"	430.45	0.5	1	3	4.5	2.33	0.5	6	2.94	"Paper"	56	3	14	1.25	24	2	1	"Boys"	13.75	1	104	1	6	"S"	"Intermediate"
"FAL7DE"	482.32	1	1	5	7	5.67	5.5	4	5.06	"Paper"	54	2	20	0.88	21.5	3	3	"Boys"	13.25	1	105	1	6	"S"	"High"
"MIV7DE"	450.93	1	0	4	5	4.67	7	5	5.56	"Paper"	55	3	15	0.75	29.5	2	1	"Boys"	13.17	3	106	1	6	"S"	"Intermediate"
"GAR7DE"	515.08	0.5	0	4	4.5	5.33	6	2	4.44	"Paper"	47	2	17	1.5	37	1	1	"Girls"	13.42	1	107	1	6	"S"	"Intermediate"
"BRA7DE"	611.86	1.5	2	0	3.5	-1	-3	1	-1	"Paper"	36	3	17	1.25	33.5	2	1	"Girls"	13.75	5	108	1	6	"S"	"Intermediate"
"AII7DE"	778.02	0.5	2	2	4.5	6.33	0	7	4.44	"Paper"	33	2	18	2.13	38.5	1	1	"Girls"	13.75	1	109	1	6	"S"	"Intermediate"
"PHR7DE*"	449.45	0.5	0	0	0.5	4.33	9	5	6.11	"Paper"	45	2	9	0.13	24	2	1	"Boys"	13.08	1	110	1	6	"S"	"Low"
"GAC6DE"	363.25	0.5	0	1	1.5	5.33	1	8	4.78	"Paper"	34	2	12	0.88	23	1	3	"Girls"	14	2	111	1	6	"S"	"Low"
"MTT7DE"	596.83	0.5	0	4	4.5	3.33	5	3	3.78	"Paper"	33	2	15	1.13	28.5	2	2	"Boys"	13	1	112	1	6	"S"	"Intermediate"
"MEE7DE"	495.27	0.5	0	0	0.5	6.33	7	9	7.44	"Paper"	44	2	12	1	28.5	1	1	"Boys"	13.75	1	113	1	6	"S"	"Low"
"WLA7DE"	542.72	1	0	2	3	1.67	7	8	5.56	"Paper"	57	0	7	2.13	28.5	2	1	"Boys"	13	1	114	1	6	"S"	"Low"
"AAY7DE"	510.91	0.5	0	4	4.5	7.33	8	5	6.78	"Paper"	35	3	9	0.75	29.5	3	3	"Girls"	13.17	7	115	1	6	"S"	"Low"
"ALR7DE"	320.18	0.5	0	1	1.5	6.33	10	9	8.44	"Paper"	39	2	17	1.75	33.5	2	1	"Girls"	13.67	1	116	1	6	"S"	"Intermediate"
"MAH7PA*"	553.7	0.5	2	3	5.5	3.33	0	2	1.78	"Paper"	31	2	9	0.38	36	2	1	"Boys"	14.33	1	117	1	7	"P"	"Low"
"MIO7PA"	494.44	1	0	2	3	3.67	7	6	5.56	"Paper"	53	2	13	1.13	36.5	1	2	"Girls"	13.67	1	118	1	7	"P"	"Intermediate"
"NHM7PA"	429.27	0.5	0	4	4.5	5.33	7	4	5.44	"Paper"	53	2	14	0.88	34.5	2	1	"Girls"	13.5	1	119	1	7	"P"	"Intermediate"
"MLR7PA"	302.79	1	0	0	1	4.67	8	1	4.56	"Paper"	57	3	14	0.75	33	1	NA	"Boys"	13.83	1	120	1	7	"P"	"Intermediate"
"UOF7PA"	775.12	2.5	0	2	4.5	-0.33	7	5	3.89	"Paper"	40	2	19	2	37.5	2	NA	"Girls"	13.67	1	121	1	7	"P"	"High"
"MIT7PA"	420.4	1.5	2	6	9.5	2	2	2	2	"Paper"	60	3	18	1.13	31	1	1	"Girls"	14	1	122	1	7	"P"	"Intermediate"
"CAS7PA"	710.49	1	0	3	4	4.67	7	6	5.89	"Paper"	59	2	13	0.38	32	1	2	"Girls"	13.83	6	123	1	7	"P"	"Intermediate"
"FOB7PA"	656.31	0.5	1	5	6.5	3.33	5.5	2	3.61	"Paper"	27	4	15	1.13	32.5	2	2	"Boys"	13.67	1	124	1	7	"P"	"Intermediate"
"EOL6PA"	698.74	0.5	2	7	9.5	5.33	3	-4	1.44	"Paper"	60	3	18	1.5	34	2	1	"Girls"	14.5	7	125	1	7	"P"	"Intermediate"
"GIS7PA"	991.36	1	3	7	11	4.67	1.5	3	3.06	"Paper"	42	3	18	1.88	38	2	1	"Girls"	13.75	1	126	1	7	"P"	"Intermediate"
"YLS6CA"	590.97	0.5	2	1	3.5	4.33	2	6	4.11	"Paper"	39	0	7	0.63	24.5	2	1	"Boys"	14.33	8	127	1	7	"P"	"Low"
"MIL7PA"	1004.98	1	2	4	7	2.67	2	5	3.22	"Paper"	37	2	16	1.5	37	1	1	"Girls"	13.67	1	128	1	7	"P"	"Intermediate"
"KOB7PA"	293.94	0.5	0	2	2.5	0.33	1	4	1.78	"Paper"	60	3	12	1.25	32	1	2	"Girls"	13.83	5	129	1	7	"P"	"Low"
"DLE7PA"	655.34	2	2	3	7	-0.67	2	3	1.44	"Paper"	51	2	20	1	38.5	1	1	"Girls"	13.83	1	130	1	7	"P"	"High"
"COC7PA"	228.21	0.5	1	0	1.5	2.33	2.5	7	3.94	"Paper"	59	4	15	0.75	38.5	1	1	"Girls"	14.17	1	131	1	7	"P"	"Intermediate"
"REV7PA"	175.34	0.5	0	0	0.5	1.33	5	1	2.44	"Paper"	60	4	17	1	26.5	2	2	"Boys"	14	1	132	1	7	"P"	"Intermediate"
"MAA7PA"	537.36	2	1	1	4	1.33	4.5	7	4.28	"Paper"	40	2	20	1.5	29.5	3	3	"Girls"	14	1	133	1	7	"P"	"High"
"JRT7PA"	977.74	1	2	5	8	5.67	2	2	3.22	"Paper"	33	2	17	0.5	16	2	2	"Girls"	13.5	4	134	1	7	"P"	"Intermediate"
"MAD7PA"	996.54	0.5	0	1	1.5	6.33	7	0	4.44	"Paper"	42	3	16	0.63	27.5	3	1	"Girls"	13.75	1	135	1	7	"P"	"Intermediate"
"AOE7PC"	435.86	1.5	0	4	5.5	3	8	4	5	"Paper"	39	4	21	2.5	36	2	2	"Girls"	14.33	1	136	1	8	"P"	"High"
"IAI8PC*"	456.24	0.5	0	2	2.5	5.33	9	7	7.11	"Paper"	33	2	12	0.88	21.5	2	2	"Girls"	13.42	6	137	1	8	"P"	"Low"
"GAR7PC"	433.69	0.5	2	3	5.5	5.33	0	3	2.78	"Paper"	60	2	17	1.38	28.5	2	1	"Girls"	13.42	1	138	1	8	"P"	"Intermediate"
"RAU7PC*"	460.49	0.5	0	0	0.5	2.33	3	2	2.44	"Paper"	52	2	4	0.13	24.5	2	1	"Girls"	14.17	1	139	1	8	"P"	"Low"
"MEM7PC"	450.46	0.5	0	3	3.5	5.33	6	3	4.78	"Paper"	34	2	3	0.13	23.5	2	1	"Boys"	13.83	1	140	1	8	"P"	"Low"
"AEO8PC"	447.28	1.5	0	4	5.5	3	9	3	5	"Paper"	52	2	14	1.13	35	3	1	"Boys"	13.42	1	141	1	8	"P"	"Intermediate"
"GRM7PC*"	475.19	1.5	0	2	3.5	3	5	2	3.33	"Paper"	55	2	15	0.38	21.5	2	3	"Boys"	14.17	1	142	1	8	"P"	"Intermediate"
"RAA7PC*"	440.28	0.5	0	0	0.5	3.33	4	1	2.78	"Paper"	54	2	11	1.25	31.5	2	1	"Girls"	14.08	1	143	1	8	"P"	"Low"
"AEM7PC"	473.1	0.5	1	2	3.5	3.33	1.5	1	1.94	"Paper"	49	2	12	0.38	27.5	1	1	"Girls"	14.08	1	144	1	8	"P"	"Low"
"AAR7PC"	487.54	0.5	0	1	1.5	3.33	6	2	3.78	"Paper"	39	2	19	0.75	27	3	2	"Boys"	13.92	1	145	1	8	"P"	"High"
"HII7PC"	476.72	0.5	1	3	4.5	4.33	0.5	4	2.94	"Paper"	60	3	17	1.25	34.5	2	1	"Girls"	13.42	1	146	1	8	"P"	"Intermediate"
